"Fx0"	"z"	"Lx0"
1.32497947016552e-13	0.055	9.56005419677965e+41
1.32497947016552e-13	0.055	9.56005419677965e+41
1.32497947016552e-13	0.055	9.56005419677965e+41
1.32497947016552e-13	0.055	9.56005419677965e+41
1.32497947016552e-13	0.055	9.56005419677965e+41
1.32497947016552e-13	0.055	9.56005419677965e+41
1.45281109937384e-13	0.055	1.0482390980716e+42
1.45281109937384e-13	0.055	1.0482390980716e+42
1.45281109937384e-13	0.055	1.0482390980716e+42
1.45281109937384e-13	0.055	1.0482390980716e+42
1.45281109937384e-13	0.055	1.0482390980716e+42
1.59297569357823e-13	0.055	1.14937131538031e+42
1.59297569357823e-13	0.055	1.14937131538031e+42
1.59297569357823e-13	0.055	1.14937131538031e+42
1.59297569357823e-13	0.055	1.14937131538031e+42
1.59297569357823e-13	0.055	1.14937131538031e+42
1.59297569357823e-13	0.055	1.14937131538031e+42
1.59297569357823e-13	0.055	1.14937131538031e+42
1.59297569357823e-13	0.055	1.14937131538031e+42
1.59297569357823e-13	0.055	1.14937131538031e+42
1.74666311499459e-13	0.055	1.26026058658692e+42
1.74666311499459e-13	0.055	1.26026058658692e+42
1.74666311499459e-13	0.055	1.26026058658692e+42
1.74666311499459e-13	0.055	1.26026058658692e+42
1.74666311499459e-13	0.055	1.26026058658692e+42
1.74666311499459e-13	0.055	1.26026058658692e+42
1.74666311499459e-13	0.055	1.26026058658692e+42
1.91517802159911e-13	0.055	1.38184825465118e+42
1.91517802159911e-13	0.055	1.38184825465118e+42
1.91517802159911e-13	0.055	1.38184825465118e+42
1.91517802159911e-13	0.055	1.38184825465118e+42
1.91517802159911e-13	0.055	1.38184825465118e+42
1.91517802159911e-13	0.055	1.38184825465118e+42
1.91517802159911e-13	0.055	1.38184825465118e+42
1.91517802159911e-13	0.055	1.38184825465118e+42
1.91517802159911e-13	0.055	1.38184825465118e+42
2.09995094241606e-13	0.055	1.51516648160353e+42
2.09995094241606e-13	0.055	1.51516648160353e+42
2.09995094241606e-13	0.055	1.51516648160353e+42
2.09995094241606e-13	0.055	1.51516648160353e+42
2.30255042132955e-13	0.055	1.66134701060526e+42
2.30255042132955e-13	0.055	1.66134701060526e+42
2.30255042132955e-13	0.055	1.66134701060526e+42
2.30255042132955e-13	0.055	1.66134701060526e+42
2.30255042132955e-13	0.055	1.66134701060526e+42
2.30255042132955e-13	0.055	1.66134701060526e+42
2.52469633250815e-13	0.055	1.82163077335633e+42
2.52469633250815e-13	0.055	1.82163077335633e+42
2.52469633250815e-13	0.055	1.82163077335633e+42
2.52469633250815e-13	0.055	1.82163077335633e+42
2.76827448047785e-13	0.055	1.99737842440866e+42
2.76827448047785e-13	0.055	1.99737842440866e+42
2.76827448047785e-13	0.055	1.99737842440866e+42
2.76827448047785e-13	0.055	1.99737842440866e+42
2.76827448047785e-13	0.055	1.99737842440866e+42
3.03535260878357e-13	0.055	2.19008189181092e+42
3.03535260878357e-13	0.055	2.19008189181092e+42
3.03535260878357e-13	0.055	2.19008189181092e+42
3.03535260878357e-13	0.055	2.19008189181092e+42
3.03535260878357e-13	0.055	2.19008189181092e+42
3.03535260878357e-13	0.055	2.19008189181092e+42
3.03535260878357e-13	0.055	2.19008189181092e+42
3.03535260878357e-13	0.055	2.19008189181092e+42
3.32819795313751e-13	0.055	2.40137704213869e+42
3.32819795313751e-13	0.055	2.40137704213869e+42
3.32819795313751e-13	0.055	2.40137704213869e+42
3.32819795313751e-13	0.055	2.40137704213869e+42
3.64929648806366e-13	0.055	2.63305756742389e+42
3.64929648806366e-13	0.055	2.63305756742389e+42
3.64929648806366e-13	0.055	2.63305756742389e+42
3.64929648806366e-13	0.055	2.63305756742389e+42
4.0013740304237e-13	0.055	2.88709021187011e+42
4.0013740304237e-13	0.055	2.88709021187011e+42
4.0013740304237e-13	0.055	2.88709021187011e+42
4.38741937897316e-13	0.055	3.16563146761398e+42
4.38741937897316e-13	0.055	3.16563146761398e+42
4.38741937897316e-13	0.055	3.16563146761398e+42
4.81070968638015e-13	0.055	3.47104588126348e+42
4.81070968638015e-13	0.055	3.47104588126348e+42
6.95359110620652e-13	0.055	5.01718776286208e+42
6.95359110620652e-13	0.055	5.01718776286208e+42
7.62446103285062e-13	0.055	5.50123698793467e+42
7.62446103285062e-13	0.055	5.50123698793467e+42
7.62446103285062e-13	0.055	5.50123698793467e+42
7.62446103285062e-13	0.055	5.50123698793467e+42
9.16661833292263e-13	0.055	6.61394157699567e+42
9.16661833292263e-13	0.055	6.61394157699567e+42
1.10206992073848e-12	0.055	7.95170673065929e+42
1.10206992073848e-12	0.055	7.95170673065929e+42
1.10206992073848e-12	0.055	7.95170673065929e+42
1.20839563871499e-12	0.055	8.71887305229292e+42
1.32497947016551e-12	0.055	9.56005419677956e+42
1.32497947016551e-12	0.055	9.56005419677956e+42
1.32497947016551e-12	0.055	9.56005419677956e+42
1.32497947016551e-12	0.055	9.56005419677956e+42
1.32497947016551e-12	0.055	9.56005419677956e+42
1.45281109937383e-12	0.055	1.04823909807159e+43
1.45281109937383e-12	0.055	1.04823909807159e+43
1.74666311499458e-12	0.055	1.26026058658691e+43
1.91517802159911e-12	0.055	1.38184825465118e+43
2.09995094241607e-12	0.055	1.51516648160354e+43
2.30255042132956e-12	0.055	1.66134701060527e+43
2.30255042132956e-12	0.055	1.66134701060527e+43
2.52469633250816e-12	0.055	1.82163077335634e+43
2.76827448047786e-12	0.055	1.99737842440867e+43
2.76827448047786e-12	0.055	1.99737842440867e+43
3.03535260878358e-12	0.055	2.19008189181093e+43
3.32819795313753e-12	0.055	2.4013770421387e+43
3.64929648806368e-12	0.055	2.6330575674239e+43
4.38741937897318e-12	0.055	3.165631467614e+43
5.27483827909067e-12	0.055	3.80592612661803e+43
6.95359110620655e-12	0.055	5.0171877628621e+43
6.95359110620655e-12	0.055	5.0171877628621e+43
7.09481328470228e-14	0.065	7.25204272974069e+41
7.09481328470228e-14	0.065	7.25204272974069e+41
7.09481328470228e-14	0.065	7.25204272974069e+41
7.09481328470228e-14	0.065	7.25204272974069e+41
7.09481328470228e-14	0.065	7.25204272974069e+41
7.09481328470228e-14	0.065	7.25204272974069e+41
7.77930807238306e-14	0.065	7.95170673065937e+41
7.77930807238306e-14	0.065	7.95170673065937e+41
7.77930807238306e-14	0.065	7.95170673065937e+41
7.77930807238306e-14	0.065	7.95170673065937e+41
7.77930807238306e-14	0.065	7.95170673065937e+41
7.77930807238306e-14	0.065	7.95170673065937e+41
7.77930807238306e-14	0.065	7.95170673065937e+41
7.77930807238306e-14	0.065	7.95170673065937e+41
8.52984168244869e-14	0.065	8.718873052293e+41
